date,year,month,day,so2,nox,o3,pm2.5,pm10,co,aqi_pm25,aqi_pm10,aqi
7/17/2014,2014,7,17,2.59975,12.88033333,28.90791667,0.122375,0.0,0.1775,0.5098958333333333,0.0,0.5098958333333333
7/18/2014,2014,7,18,,15.32041667,31.317625,0.12275,0.0,0.232291667,0.5114583333333333,0.0,0.5114583333333333
7/19/2014,2014,7,19,,,,0.122625,4.17e-05,0.331291667,0.5109375,3.861111111111111e-05,0.5109375
7/20/2014,2014,7,20,,,,0.123666667,0.0,0.343375,0.5152777791666667,0.0,0.5152777791666667
7/21/2014,2014,7,21,,,,0.124625,0.0,0.262125,0.5192708333333333,0.0,0.5192708333333333
7/22/2014,2014,7,22,,,,0.123875,0.0,0.24825,0.5161458333333334,0.0,0.5161458333333334
7/23/2014,2014,7,23,,,,0.121333333,4.17e-05,,0.5055555541666668,3.861111111111111e-05,0.5055555541666668
7/24/2014,2014,7,24,,,,0.1225,0.0,,0.5104166666666667,0.0,0.5104166666666667
7/25/2014,2014,7,25,,,,0.120791667,4.17e-05,0.253041667,0.5032986125000001,3.861111111111111e-05,0.5032986125000001
7/26/2014,2014,7,26,,,,0.122708333,0.0,0.305416667,0.5112847208333334,0.0,0.5112847208333334
7/27/2014,2014,7,27,,,,,,,,,
7/28/2014,2014,7,28,,,,0.122916667,0.0,,0.5121527791666667,0.0,0.5121527791666667
7/29/2014,2014,7,29,,,,0.122916667,0.0,0.201583333,0.5121527791666667,0.0,0.5121527791666667
7/30/2014,2014,7,30,,,,0.122958333,0.0,0.15075,0.5123263875,0.0,0.5123263875
7/31/2014,2014,7,31,,,,0.121875,0.0,0.268583333,0.5078125,0.0,0.5078125
08/01/2014,2014,8,1,,,,0.122375,0.0,0.275333333,0.5098958333333333,0.0,0.5098958333333333
08/02/2014,2014,8,2,,,,0.121666667,0.0,,0.5069444458333334,0.0,0.5069444458333334
08/03/2014,2014,8,3,3.491041667,14.39670833,30.29454167,0.123583333,4.17e-05,0.243291667,0.5149305541666667,3.861111111111111e-05,0.5149305541666667
08/04/2014,2014,8,4,,14.10416667,30.26141667,0.123208333,0.0,,0.5133680541666668,0.0,0.5133680541666668
08/05/2014,2014,8,5,4.50375,14.68670833,33.11079167,0.122916667,0.0,0.187,0.5121527791666667,0.0,0.5121527791666667
08/06/2014,2014,8,6,3.801916667,15.58845833,32.78583333,0.121291667,0.0,0.254125,0.5053819458333334,0.0,0.5053819458333334
08/07/2014,2014,8,7,4.151458333,18.0865,32.84891667,0.121291667,0.0,0.161583333,0.5053819458333334,0.0,0.5053819458333334
